GID,GO,EVIDENCE
SEN_RS00910,GO:0009297,IEA
SEN_RS00910,GO:0055085,IEA
SEN_RS00910,GO:0009279,IEA
SEN_RS00910,GO:0016020,IEA
SEN_RS00910,GO:0015473,IEA
SEN_RS11190,GO:0006418,IEA
SEN_RS11190,GO:0006412,IEA
SEN_RS11190,GO:0006431,IEA
SEN_RS11190,GO:0005829,IEA
SEN_RS11190,GO:0005737,IEA
SEN_RS11190,GO:0000049,IEA
SEN_RS11190,GO:0046872,IEA
SEN_RS11190,GO:0004812,IEA
SEN_RS11190,GO:0016874,IEA
SEN_RS11190,GO:0003723,IEA
SEN_RS11190,GO:0000166,IEA
SEN_RS11190,GO:0004825,IEA
SEN_RS11190,GO:0005524,IEA
SEN_RS19715,GO:0006468,IEA
SEN_RS19715,GO:0016310,IEA
SEN_RS19715,GO:0005829,IEA
SEN_RS19715,GO:0005737,IEA
SEN_RS19715,GO:0016301,IEA
SEN_RS19715,GO:0016740,IEA
SEN_RS19715,GO:0046872,IEA
SEN_RS19715,GO:0000166,IEA
SEN_RS19715,GO:0106310,IEA
SEN_RS19715,GO:0000287,IEA
SEN_RS19715,GO:0005524,IEA
SEN_RS19715,GO:0004674,IEA
SEN_RS16305,GO:0042254,IEA
SEN_RS16305,GO:0005829,IEA
SEN_RS16305,GO:0005737,IEA
SEN_RS16305,GO:0000287,IEA
SEN_RS16305,GO:0016787,IEA
SEN_RS16305,GO:0046872,IEA
SEN_RS16305,GO:0000166,IEA
SEN_RS16305,GO:0003924,IEA
SEN_RS16305,GO:0005525,IEA
SEN_RS00430,GO:0003824,IEA
SEN_RS00430,GO:0008484,IEA
SEN_RS02400,GO:0006139,IEA
SEN_RS02400,GO:0016310,IEA
SEN_RS02400,GO:0009165,IEA
SEN_RS02400,GO:0046940,IEA
SEN_RS02400,GO:0044209,IEA
SEN_RS02400,GO:0005829,IEA
SEN_RS02400,GO:0005737,IEA
SEN_RS02400,GO:0016776,IEA
SEN_RS02400,GO:0019205,IEA
SEN_RS02400,GO:0016301,IEA
SEN_RS02400,GO:0016740,IEA
SEN_RS02400,GO:0000166,IEA
SEN_RS02400,GO:0004017,IEA
SEN_RS02400,GO:0005524,IEA
SEN_RS03755,GO:0015689,IEA
SEN_RS03755,GO:0006355,IEA
SEN_RS03755,GO:0005829,IEA
SEN_RS03755,GO:0003700,IEA
SEN_RS03755,GO:0030151,IEA
SEN_RS02910,GO:0009267,IEA
SEN_RS02910,GO:0005886,IEA
SEN_RS02910,GO:0016020,IEA
SEN_RS09235,GO:0006865,IEA
SEN_RS09235,GO:0005886,IEA
SEN_RS09235,GO:0016020,IEA
SEN_RS09235,GO:0005215,IEA
SEN_RS17560,GO:0006629,IEA
SEN_RS17560,GO:0005829,IEA
SEN_RS17560,GO:0008081,IEA
SEN_RS17560,GO:0016787,IEA
SEN_RS17560,GO:0008889,IEA
SEN_RS21000,GO:0006355,IEA
SEN_RS21000,GO:0005829,IEA
SEN_RS21000,GO:0003700,IEA
SEN_RS21000,GO:0043565,IEA
SEN_RS21000,GO:0003677,IEA
SEN_RS07815,GO:0055085,IEA
SEN_RS07815,GO:0005886,IEA
SEN_RS07815,GO:0016020,IEA
SEN_RS07815,GO:0022857,IEA
SEN_RS07815,GO:0005215,IEA
SEN_RS13385,GO:0006396,IEA
SEN_RS13385,GO:0032259,IEA
SEN_RS13385,GO:0001510,IEA
SEN_RS13385,GO:0005829,IEA
SEN_RS13385,GO:0003723,IEA
SEN_RS13385,GO:0008173,IEA
SEN_RS13385,GO:0016740,IEA
SEN_RS13385,GO:0008168,IEA
SEN_RS12065,GO:0005886,IEA
SEN_RS12065,GO:0016020,IEA
SEN_RS12065,GO:0005215,IEA
SEN_RS14345,GO:0005829,IEA
SEN_RS14345,GO:0016853,IEA
SEN_RS14345,GO:0008903,IEA
SEN_RS16885,GO:0006351,IEA
SEN_RS16885,GO:0005829,IEA
SEN_RS16885,GO:0046983,IEA
SEN_RS16885,GO:0016779,IEA
SEN_RS16885,GO:0016740,IEA
SEN_RS16885,GO:0003899,IEA
SEN_RS16885,GO:0003677,IEA
SEN_RS18460,GO:0006412,IEA
SEN_RS18460,GO:0005829,IEA
SEN_RS18460,GO:0005840,IEA
